Site Name,Department,Year,Current Solar,Electric Utility,Electricity Usage,Peak Electric Demand,Building Type,Building Area,Natural Gas Usage,Energy Use Intensity,Address,Latitude,Longitude
PHX Building 139,Aviation,2020,0,APS,1,0,REPAIRSERVICES,3616,0,0,2745 E Air Ln,33.44299,-112.02176
Old Verde Park Cntr,Parks,2020,0,APS,12,0,UNKNOWN,0,0,,916 E Van Buren St,33.45205,-112.06179
North Ranger Station - Old,Parks,2020,0,APS,77,0,OFFICE,0,0,,11659 N 16th St,33.59485,-112.04768
Lookout Mountain Trailhead,Parks,2020,0,APS,242,0,OUTDOORREC,0,0,,15415 N 16th St,33.6272,-112.0482
Laveen Basin,Parks,2020,0,SRP,317,0,PARK,0,0,,6039 S 43rd Ave,33.39098,-112.14917
Tawa Mini Park,Parks,2020,0,SRP,489,0,PARK,0,0,,4540 N 11th Ave,33.50389,-112.08718
Ho-E Mini Park,Parks,2020,0,SRP,552,0,PARK,0,0,,128 W Illini St,33.41183,-112.07694
PHX Hangar 1,Aviation,2020,0,APS,671,0,HANGAR,0,0,,2435 E Air Ln,33.4437,-112.02926
Kierland Park,Parks,2020,0,APS,749,0,PARK,0,0,,15800 N 66th St,33.63164,-111.94024
Mong Park,Parks,2020,0,SRP,888,0,PARK,0,0,,1432 E Wood St,33.40884,-112.04993
Sunset Basin,Parks,2020,0,SRP,896,1,PARK,0,0,,3830 N 63rd Ave,33.49361,-112.1967
Crossed Arrows Park,Parks,2020,0,APS,974,0,PARK,0,0,,6102 E Acoma Rd,33.62045,-111.94934
Watkins Center,Human Services,2020,0,APS,990,0,OTHERLODGINGRES,28000,0,0.11,1120 W Watkins Rd,33.42621,-112.08767
PHX Hangar 18,Aviation,2020,0,APS,1141,0,HANGAR,3772,0,0.95,2411 E Air Ln,33.44302,-112.0293
PHX Commercial Wash Rack,Aviation,2020,0,APS,1364,0,REPAIRSERVICES,0,0,,2417 E Air Ln,33.44369,-112.02942
PHX Hangar 20,Aviation,2020,0,APS,1374,0,HANGAR,3772,0,1.14,2411 E Air Ln,33.44302,-112.02969
PHX Hangar 19,Aviation,2020,0,APS,1471,0,HANGAR,3772,0,1.22,2411 E Air Ln,33.44304,-112.02953
Roosevelt Mini Park,Parks,2020,0,APS,1579,0,PARK,0,0,,837 N 3rd Ave,33.45811,-112.0774
PHX Building 121,Aviation,2020,0,APS,1608,0,HANGAR,3600,0,1.4,2535 E Air Ln,33.44301,-112.02865
Construction Site - NSD,Neighborhood,2020,0,APS,1640,0,VACANT,0,0,,415 E Puget Ave,33.56666,-112.06819
Yapa Park,Parks,2020,0,SRP,2169,2,PARK,0,0,,2732 E Mobile Ln,33.40172,-112.0227
